178.246	0.02
178.631	0.02
179.016	0.01
179.401	0.31
179.785	0.61
180.17	0.07
180.554	-0.44
180.939	-0
181.323	-0.07
181.708	0.13
182.092	-0
182.477	0.14
182.861	0.05
183.245	-0.21
183.63	-1.47
184.014	-0.43
184.398	0.19
184.782	0.63
185.167	0.44
185.551	-0.37
185.935	0.18
186.319	1.26
186.703	0.4
187.087	-0.02
187.471	0
187.855	0.06
188.238	0.03
188.622	-0
189.006	0.1
189.39	-0
189.774	-0.14
190.157	-0.89
190.541	0.39
190.925	0.28
191.308	-0.02
191.692	-0.21
192.075	0.5
192.459	-0
192.842	-0.51
193.226	-0.1
193.609	0.48
193.992	0.12
194.376	0.12
194.759	0.28
195.142	0.21
195.525	-0.64
195.909	-0
196.292	0.39
196.675	-0.17
197.058	-0.01
197.441	-0.16
197.824	0.2
198.207	-0
198.59	-0
198.973	-0.56
199.356	0.49
199.738	-0
200.121	-0
200.504	0.03
200.887	-0.5
201.269	-0
201.652	-0.09
202.035	-0
202.417	-0
202.8	-0
203.182	-1.27
203.565	-0
203.947	0.27
204.329	-0
204.712	-0.04
205.094	0.27
205.476	-0
205.859	-0.78
206.241	-0.92
206.623	-0
207.005	-0
207.387	-1.14
207.769	0.42
208.151	-0
208.533	-0
208.915	-0.11
209.297	0.36
209.679	-0.78
210.061	-0.96
210.443	0.05
210.825	2.36
211.206	-0.93
211.588	-0.4
211.97	0.32
212.351	-0
212.733	-0
213.115	-0.37
213.496	0.17
213.878	-0.32
214.259	-0.18
214.641	-0
215.022	3.05
215.403	0.01
215.785	-0.35
216.166	-0
216.547	0.48
216.928	0.34
217.31	0.45
217.691	0.38
218.072	0.39
218.453	-0.13
218.834	-0
219.215	-0.01
219.596	0.94
219.977	0.62
220.358	-0.07
220.739	-0
221.119	-0
221.5	-0.14
221.881	0.16
222.262	0.21
222.642	0.29
223.023	0.8
223.403	-0.58
223.784	0.42
224.165	-0.57
224.545	-0.05
224.926	-0
225.306	-0.35
225.686	-0
226.067	-0.49
226.447	-0.57
226.827	-0
227.207	-0.47
227.588	-0.52
227.968	-0.6
228.348	-0
228.728	-1.55
229.108	-0.65
229.488	-0
229.868	-1.82
230.248	-1.11
230.628	-0
231.008	-1.43
231.388	-0
231.767	-0
232.147	-1.26
232.527	-1.22
232.907	-0
233.286	-0
233.666	-0
234.046	-0
234.425	-1.5
234.805	-0.89
235.184	-1.69
235.564	-1.66
235.943	-0
236.322	-0
236.702	-0.91
237.081	-1.38
237.46	-0
237.839	-0
238.219	-0
238.598	-0
238.977	-0.87
239.356	-1.03
239.735	-2.44
240.114	-0.84
240.493	-0.96
240.872	-1.86
241.251	-1.09
241.629	-0.8
242.008	-1.13
242.387	-0.91
242.766	-1.34
243.145	-0.67
243.523	-1.19
243.902	-0.93
244.28	-0.73
244.659	-0.66
245.037	-0.76
245.416	-0.69
245.794	-0.56
246.173	-1.07
246.551	-0.95
246.93	-0.72
247.308	-1.3
247.686	-0.72
248.064	-0.46
248.442	-0.85
248.821	-0.64
249.199	-0.81
249.577	-0.49
249.955	-0.54
250.333	-0.44
250.711	-0.65
251.089	-0.45
251.467	-0.68
251.844	-0.41
252.222	-0.64
252.6	-0.48
252.978	-0.29
253.356	-0.19
253.733	-0.48
254.111	-0.24
254.488	-0.12
254.866	-0.2
255.243	-0.15
255.621	-0.14
255.998	-0.14
256.376	0.06
256.753	-0.04
257.13	-0.01
257.508	-0.11
257.885	-0.11
258.262	0.11
258.639	0.06
259.017	0.03
259.394	0.2
259.771	0.09
260.148	0.22
260.525	0.3
260.902	0.29
261.279	0.37
261.656	0.26
262.032	0.38
262.409	0.38
262.786	0.43
263.163	0.61
263.539	0.52
263.916	0.54
264.293	0.42
264.669	0.48
265.046	0.51
265.422	0.48
265.799	0.61
266.175	0.69
266.552	0.6
266.928	0.51
267.304	0.53
267.681	0.55
268.057	0.48
268.433	0.52
268.809	0.61
269.185	0.59
269.561	0.66
269.937	0.91
270.313	0.81
270.689	0.94
271.065	0.64
271.441	0.74
271.817	1.12
272.193	0.95
272.569	1.1
272.945	0.85
273.32	0.86
273.696	1.01
274.072	1.1
274.447	0.91
274.823	0.91
275.198	1.08
275.574	1.26
275.949	0.88
276.325	0.92
276.7	0.79
277.075	0.84
277.451	0.81
277.826	0.67
278.201	0.66
278.576	0.69
278.951	0.65
279.326	0.66
279.702	0.56
280.077	0.64
280.452	0.65
280.827	0.69
281.201	0.74
281.576	0.81
281.951	0.8
282.326	0.78
282.701	0.72
283.075	0.85
283.45	0.78
283.825	0.81
284.199	0.78
284.574	0.78
284.949	0.79
285.323	0.74
285.697	0.75
286.072	0.76
286.446	0.73
286.821	0.61
287.195	0.57
287.569	0.47
287.943	0.38
288.318	0.34
288.692	0.28
289.066	0.21
289.44	0.19
289.814	0.15
290.188	0.13
290.562	0.08
290.936	0.07
291.31	0.05
291.684	0.04
292.057	0.01
292.431	0.01
292.805	0
293.179	-0.01
293.552	-0.03
293.926	-0.01
294.299	-0.01
294.673	-0.01
295.046	0
295.42	-0.02
295.793	-0
296.167	-0.02
296.54	-0.01
296.913	-0.02
297.287	-0
297.66	-0.03
298.033	0
298.406	-0.01
298.779	0
299.152	-0
299.525	0.01
299.898	0
300.271	0
300.644	0.01
301.017	0.01
301.39	-0.01
301.763	-0
302.136	-0.01
302.508	-0.02
302.881	-0.01
303.254	0
303.626	-0.04
303.999	-0
304.371	-0.01
304.744	-0
305.116	-0.01
305.489	-0.02
305.861	-0.03
306.233	-0.03
306.606	-0.01
306.978	-0.02
